,,,,,,Hosts:,,,,,,,,,,,,,,,,,,,,,,
WEEK #,Holiday,Date of Holiday,Date,Total # of Sandwiches,,"ALPHARETTA ( Karen, Nancy, Carrey, Kelly, Jason)",PREVIOUS BUCKHEAD,PREVIOUS OAK GROVE,"DUNWOODY/PTC (Marcy, Lisa, Darren, Renee, Suzanna, Sonika, Tracie)","E COBB/ROSWELL (Natalie, Silke, Vicki, Rachel, Judy, Jenny)",DECATUR (Sonika),"P'TREE CORNERS (Elaine, Renee V, Susannah, Tracie)",UGA/Athens,"SANDY SPRINGS (Allison, Jen, Terri, Sarah, Kate)","INTOWN/DRUID HILLS (Laura, Jordan, Angie, Della, Julie, Ashley)",SNELLVILLE,GROUPS,Previous Woodstock,Previous Lenox/Brookhaven,Previous New Chastain,Previous Glenwood Park,FLOWERY BRANCH (Kristina),"GROUPS
(Numbers displayed only when not included in a host's count)",TOTAL,NOTES,VALID WEEK?,,
2,,,4/22/2020,317,,,,,,,,,,,,,,,,,,,,,,TRUE,,
3,,,4/29/2020,530,,,,,,,,,,,,,,,,,,,,,,TRUE,,90-[p?
4,,,5/6/2020,290,,,,,,,,,,,,,,,,,,,,,,TRUE,,
5,,,5/13/2020,430,,,,,,,,,,,,,,,,,,,,,,TRUE,,
6,,,5/20/2020,581,,,,,,,,,,,,,,,,,,,,,,TRUE,,
7,,,5/27/2020,432,,,,,,,,,,,,,,,,,,,,,,TRUE,,
8,,,6/3/2020,780,,,,,,,,,,,,,,,,,,,,,,TRUE,,
9,,,6/10/2020,939,,,,,,,,,,,,,,,,,,,,,,TRUE,,
10,,,6/17/2020,995,,,,,,,,,,,,,,,,,,,,,,TRUE,,
11,,,6/24/2020,1177,,,,,,,,,,,,,,,,,,,,,,TRUE,,
12,,,7/1/2020,626,,,,,,,,,,,,,,,,,,,,,,TRUE,,
13,,,7/8/2020,866,,,,,,,,,,,,,,,,,,,,,,TRUE,,
14,,,7/15/2020,1231,,,,,,,,,,,,,,,,,,,,,,TRUE,,
15,,,7/22/2020,1195,,,,,,,,,,,,,,,,,,,,,,TRUE,,
16,,,7/29/2020,991,,,,,,,,,,,,,,,,,,,,,,TRUE,,
17,,,8/5/2020,953,,,,,,,,,,,,,,,,,,,,,,TRUE,,
18,,,8/12/2020,752,,,,,,,,,,,,,,,,,,,,,,TRUE,,
19,,,8/19/2020,1114,,,,,,,,,,,,,,,,,,,,,,TRUE,,
20,,,8/26/2020,965,,,,,,,,,,,,,,,,,,,,,,TRUE,,
21,,,9/2/2020,813,,,,,,,,,,,,,,,,,,,,,,TRUE,,
22,,,9/9/2020,1361,,,,,,,,,,,,,,,,,,,,,,TRUE,,
23,,,9/16/2020,1269,,,,,,,,,,,,,,,,,,,,,,TRUE,,
24,,,9/23/2020,1316,,,,,,,,,,,,,,,,,,,,,,TRUE,,
25,,,9/30/2020,1684,,,,,,,,,,,,,,,,,,,,,,TRUE,,
26,,,10/7/2020,1414,,,,,,,,,,,,,,,,,,,,,,TRUE,,
27,,,10/14/2020,943,,,,,,,,,,,,,,,,,,,,,,TRUE,,
28,,,10/21/2020,1364,,,,,,,,,,,,,,,,,,,,,,TRUE,,
29,,,10/28/2020,1454,,,,,,,,,,,,,,,,,,,,,,TRUE,,
30,,,11/4/2020,1474,,,,,,,,,,,,,,,,,,,,,,TRUE,,
31,,,11/11/2020,2595,,,,,,,,,,,,,,,,,,,,,,TRUE,,
32,,,11/18/2020,3159,,,,,,,,,,,,,,,,,,,,,,TRUE,,
33,THXGIVING,11/26/2020,11/25/2020,2518,,,,,,,,,,,,,,,,,,,,,,TRUE,,
34,,,12/2/2020,1511,,,,,,,,,,,,,,,,,,,,,,TRUE,,
35,,,12/9/2020,1365,,,,,,,,,,,,,,,,,,,,,,TRUE,,
36,,,12/16/2020,1762,,,,,,,,,,,,,,,,,,,,,,TRUE,,
37,,,12/23/2020,1481,,,,,,,,,,,,,,,,,,,,,,TRUE,,
38,,,12/30/2020,2311,,,,,,,,,,,,,,,,,,,,,,TRUE,,
39,,,1/6/2021,1841,,,,,,,,,,,,,,,,,,,,,,TRUE,,
40,,,1/13/2021,1912,,,,,,,,,,,,,,,,,,,,,,TRUE,,
41,MLK,1/18/2021,1/20/2021,2865,,,,,,,,,,,,,,,,,,,,,,TRUE,,
42,,,1/27/2021,3109,,,,,,,,,,,,,,,,,,,,,,TRUE,,
43,,,2/3/2021,4711,,,,,,,,,,,,,,,,,,,,,,TRUE,,
44,,,2/10/2021,3840,,,,,,,,,,,,,,,,,,,,,,TRUE,,
45,,,2/17/2022,5418,,,,,,,,,,,,,,,,,,,,,,TRUE,,
46,,,2/24/2021,6030,,,,,,,,,,,,,,,,,,,,,,TRUE,,
47,,,3/3/2021,5186,,,,,,,,,,,,,,,,,,,,,,TRUE,,
48,,,3/10/2021,3989,,,,,,,,,,,,,,,,,,,,,,TRUE,,
49,,,3/17/2021,4052,,,,,,,,,,,,,,,,,,,,,,TRUE,,
50,,,3/24/2021,4865,,,,,,,,,,,,,,,,,,,,,,TRUE,,
51,,,3/31/2021,4225,,,,,,,,,,,,,,,,,,,,,,TRUE,,
52,,,4/7/2021,5442,,,,,,,,,,,,,,,,,,,,,,TRUE,,
53,,,4/14/2021,7241,,,,,,,,,,,,,,,,,,,,,,TRUE,,
54,,,4/21/2021,"10,085",,,,,,,,,,,,,,,,,,,,,,TRUE,,
55,,,4/28/2021,"9,454",,,,,,,,,,,,,,,,,,,,,,TRUE,,
56,,,5/5/2021,"6,715",,,,,,,,,,,,,,,,,,,,,,TRUE,,
57,,,5/12/2021,"8,579",,,,,,,,,,,,,,,,,,,,,,TRUE,,
58,,,5/19/2021,"5,475",,,,,,,,,,,,,,,,,,,,,,TRUE,,
59,,,5/26/2021,"4,063",,,,,,,,,,,,,,,,,,,,,,TRUE,,
60,,,6/2/2021,"10,085",,,,,,,,,,,,,,,,,,,,,,TRUE,,
61,,,6/9/2021,"9,454",,,,,,,,,,,,,,,,,,,,,,TRUE,,
62,,,6/16/2021,"6,715",,,,,,,,,,,,,,,,,,,,,,TRUE,,
63,,,6/23/2021,"8,579",,,,,,,,,,,,,,,,,,,,,,TRUE,,
64,,,6/30/2021,"5,475",,,,,,,,,,,,,,,,,,,,,,TRUE,,
65,,,7/7/2021,"4,063",,,,,,,,,,,,,,,,,,,,,,TRUE,,
66,,,7/14/2021,"4,198",,,,,,,,,,,,,,,,,,,,,,TRUE,,
67,,,7/21/2021,"5,372",,,"109,462",,,,,,,,,,,,,,,,,,,TRUE,,
68,,,7/28/2021,"6,175",,,,,,,,,,,,,,,,,,,,,,TRUE,,
69,,,8/4/2021,5764,,,,,,,,,,,,,,,,,,,,,,TRUE,,
70,,,8/11/2021,"6,847",,,,,,,,,,,,,,,,,,,,,,TRUE,,
71,,,8/18/2021,"5,245",,,,,,,,,,,,,,,,,,,,,,TRUE,,
72,,,8/25/2021,"4,780",,,,,,,,,,,,,,,,,,,,,,TRUE,,
73,,,9/1/2021,"4,568",,,,,,,,,,,,,,,,,,,,,,TRUE,,
74,,,9/8/2021,"3,989",,,,,,,,,,,,,,,,,,,,,,TRUE,,
75,,,9/15/2021,"4,690",,600,,451,"1,989","1,071",0,160,,419,,,,,,,,,,,,TRUE,,
76,,,9/22/2021,"4,388",,790,,48,"2,008",988,30,99,,425,,,,,,,,,,,,TRUE,,
77,,,9/29/2021,"4,888",,594,273,60,"1,865","1,855",0,114,,127,,,,,,,,,,,,TRUE,,
78,,,10/6/2021,"4,648",,651,0,120,"2,225",866,0,126,,660,,,,,,,,,,,,TRUE,,
79,,,10/13/2021,"3,916",,509,0,72,"1,522","1,328",9,266,,210,,,,,,,,,,,,TRUE,,
80,,,10/20/2021,"4,923",,"1,005",0,40,"1,874","1,218",0,188,,598,,,,,,,,,,,,TRUE,,
81,,,10/27/2021,"5,801",,"1,043",0,308,"2,806","1,229",0,130,,285,,,,,,,,,,,,TRUE,,
82,,,11/3/2021,"6,742",,"1,247",0,112,"2,555","2,144",0,184,,500,,,,,,,,,,,,TRUE,,
83,,,11/10/2021,"6,550",,851,0,122,"3,728","1,231",0,245,,373,,,,,,,,,,,,TRUE,,
84,,,11/17/2021,"6,341",,777,0,82,"3,517","1,180",166,229,,390,,,,,,,,,,,,TRUE,,
85,THXGIVING,11/25/2021,11/22/2021,"6,693",,939,0,0,"2,720","2,204",10,470,,350,,,,,,,,,,,,TRUE,,
86,,,12/1/2021,"5,182",,540,0,73,"2,432","1,585",0,166,,386,,,,,,,,,,,,TRUE,,
87,,,12/8/2021,"6,927",,939,0,60,"2,553","1,688",530,307,,850,,,,,,,,,,,,TRUE,,
88,,,12/15/2021,"6,288",,868,0,103,"1,890","2,214",80,558,,575,,,,,,,,,,,,TRUE,,
89,,,12/29/2021,0,"3,000",,,,,,,,,,,,,,,,,,,,,FALSE,,
90,,,1/3/2022,924,,818,,,,,106,,,,,120,,,,,,,,,,TRUE,,
91,,,1/5/2022,"6,407",,438,0,0,"3,293","1,292",0,371,,"1,013",,,,,,,,,,,,TRUE,,
92,MLK,1/17/2022,1/17/2022,"7,550","7,550",900,225,0,"5,033",879,0,0,,513,,,,,,,,,,,,TRUE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,1/19/2022,"8,512","8,512",649,263,0,"2,412","4,109",566,351,,162,,,,,,,,,,,,TRUE,,
95,,,1/26/2022,"8,092",,842,0,0,"3,975","2,210",28,282,,755,,,,,,,,,,,,TRUE,,
96,,,2/2/2022,"6,828",,974,530,239,"2,478","2,011",39,252,,120,185,,,,,,,,,,,TRUE,,
97,,,2/9/2022,"7,832",,"2,236",335,100,"2,341","1,861",84,344,,401,130,,,,,,,,,,,TRUE,,
98,,,2/16/2022,"10,275",,"1,801",276,0,"4,550","2,311",165,462,,486,224,,,,,,,,,,,TRUE,,
99,,,2/23/2022,"8,476",,"1,190",422,200,3564,"1,803",0,551,,442,304,,,,,,,,,,,TRUE,,
100,,,3/2/2022,"9,265",,"1,569","1,326",391,3121,"1,809",68,249,,364,368,,,,,,,,,,,TRUE,,
101,,,3/9/2022,"7,946",,"1,054",486,287,2844,"1,877",0,773,,443,102,80,,,,,,,,,,TRUE,,
102,,,3/16/2022,"7,561",,"2,291",638,110,1927,1330,0,230,,330,235,150,160,,,,,,160,,,TRUE,,
103,,,3/23/2022,"12,178",,"2,291",516,61,3471,"1,240",0,432,,253,90,150,1837,,,,,,1837,,,TRUE,,
104,,,3/30/2022,"8,360",,"1,699",616,145,2068,"1,911",107,432,,529,237,125,180,131,,,,,180,,,TRUE,,
105,,,4/6/2022,6609,,867,125,0,"2,267","2,156",0,496,,259,275,125,0,39,,,,,0,,,TRUE,,
106,,,4/13/2022,"10,066",,"1,134",282,0,"2,774","1,892",21,211,,325,112,105,"1,580",50,,,,,"1,580",,,TRUE,,
107,,,4/20/2022,"12,798",,"2,165",817,0,3490,"2,760",0,829,,352,247,128,1005,-,,,,,1005,,,TRUE,,
108,,,4/27/2022,"10,210",,"1,379",243,0,3034,"2,817",85,503,,503,380,116,575,-,,,,,575,,,TRUE,,
109,,,5/4/2022,7467,,1030,515,0,2707,"1,570",195,388,,480,62,140,190,-,,,,,190,,,TRUE,,
110,,,5/11/2022,9466,,1574,541,0,3729,1999,154,699,,569,86,115,0,-,,,,,0,,,TRUE,,
111,,,5/18/2022,"8,176",,"1,457",500,0,2532,1842,77,165,,256,118,121,450,-,208,,,,450,,,TRUE,,
112,,,5/15/2022,"8,408",,"1,457",403,0,"2,415","1,747",112,187,,136,86,110,800,0,155,,,,800,,,TRUE,,
113,,,6/1/2022,5255,,634,434,0,1855,"1,695",0,433,,0,76,128,0,0,,,,,0,,,TRUE,,
114,,,6/8/2022,"10,778",,"1,471",70,0,2404,"2,163",120,453,,20,270,170,1809,0,19,,,,1809,,,TRUE,,
115,,,6/15/2022,8985,,1232,1170,0,2032,"2,841",0,557,,0,93,160,450,0,0,,,,450,,,TRUE,,
116,,,6/22/2022,"12,216",,"1,147",278,0,3174,"2,897",114,703,,44,235,104,"1,750",0,20,,,,"1,750",,,TRUE,,
117,,,6/29/2022,"8,850",,"2,340",0,0,"1,837","3,182",54,591,,80,185,82,151,0,197,,,,151,,,TRUE,,
118,,,7/6/2022,"5,500",,"1,144",107,0,"1,067","2,167",107,341,,170,210,187,0,0,0,,,,0,,,TRUE,,
119,,,7/13/2022,7385,,2688,176,0,1645,"2,168",66,370,,67,0,99,0,0,106,,,,0,,,TRUE,,
120,,,7/20/2022,9896,,528,423,0,"2,046","2,533",0,272,,104,268,172,"1,740",0,70,,,,"1,740",,,TRUE,,
121,,,7/27/2022,7499,,1068,305,0,1970,"2,538",104,232,,0,90,142,525,0,0,,,,525,,,TRUE,,
122,,,8/3/2022,5226,,760,373,0,1319,"1,845",366,401,,18,42,102,0,0,0,,,,0,,,TRUE,,
123,,,8/10/2022,"7,015",,"1,697",300,0,1616,"1,637",72,475,,84,175,135,375,0,74,,,,375,,,TRUE,,
124,,,8/17/2022,"8,071",,"1,339",222,0,1818,1132,79,199,,265, ,175,1391,0,60,,,,1391,,,TRUE,,
125,,,8/24/2022,5986,,,,,,,,,,,,,,,,,,,5986,,,TRUE,,
126,,,8/31/2022,"6,377",,"1,310",0,0,1819,"1,321",147,224,,32,106,220,350,0,230,268,,,350,,,TRUE,,
127,,,9/7/2022,"9,948",,"2,611",115,0,1458,"1,118",190,226,,30,106,150,"1,700",150,248,146,,,"1,700",,,TRUE,,
128,,,9/14/2022,"9,709",,"1,043",125,110,"1,981","1,235",54,307,,123,75,190,"2,138",0,160,30,,,"2,138",,,TRUE,,
129,,,9/21/2022,"9,668",,"2,590",217,120,831,"1,559",30,453,,192,118,160,"1,500",0,190,30,178,,"1,500",,,TRUE,,
130,,,9/28/2022,"7,613",,"1,009",0,0,1373,"1,009",334,374,,245,389,140,1320,0,0,0,0,100,1320,,,TRUE,,
131,,,10/5/2022,"9,374",,"1,058",0,0,"1,417","1,215",394,226,,96,534,201,2079,0,0,0,0,75,2079,,,TRUE,,
132,,,10/12/2022,"6,690",,"1,161",0,0,1579,"1,078",136,322,,390,360,158,653,0,0,0,0,200,653,,,TRUE,,
133,,,10/19/2022,10480,,1097,0,0,"1,317","1,250",194,468,,615,460,162,"2,363",0,0,0,0,191,"2,363",,,TRUE,,
134,,,10/26/2022,8490,,963,0,0,1414,852,353,257,,"1,106",760,158,1167,0,0,0,0,293,1167,,,TRUE,,
135,,,11/2/2022,11160,,783,0,0,2150,1149,267,190,,688,567,105,2437,0,0,0,0,387,2437,,,TRUE,,
136,,,11/9/2022,"19,195",,"1,939",0,0,2705,"2,101",154,347,,644,816,105,5030,0,0,0,0,324,5030,,,TRUE,,
137,,,11/16/2022,"34,100",,"2,897",0,0,"1,621","2,098",625,324,,"3,594",950,142,"10,728",0,0,0,0,393,"10,728",,,TRUE,,
138,THXGIVING,11/23/2022,11/23/2022,0,,,,,,,0,,,,,0,,,,,,,0,,,FALSE,,
139,,,11/30/2022,"16,037",,"1,543",0,0,"1,156","1,497",248,347,,948,363,200,"4,652",0,0,0,0,431,"4,652",,,TRUE,,
140,,,12/7/2022,"11,553",,"1,134",0,0,1238,"1,826",150,410,,517,487,100,"2,722",0,0,0,0,247,"2,722",,,TRUE,,
141,,,12/14/2022,"7,342",,"1,471",0,0,"2,186","1,690",233,530,,560,235,136,0,0,0,0,0,301,0,,,TRUE,,
142,,,12/21/2022,12568,,493,0,0,1204,"1,856",0,321,,184,300,210,"4,000",0,0,0,0,,"4,000",,,TRUE,,
143,,,12/28/2022,3765,,799,0,0,888,"1,411",0,140,,40,40,0,100,0,0,0,0,247,100,,,TRUE,,
144,,,1/4/2023,4746,,818,0,0,"1,326","1,204",161,263,,250,206,106,0,0,0,0,0,412,0,,,TRUE,,
