Week_Number,Date,Total_Sandwiches,Loc_Column,Loc_ALPHARETTA,Loc_DUNWOODY/PTC,Loc_E,Loc_DECATUR,Loc_P'TREE,Loc_UGA/Athens,Loc_SANDY,Loc_INTOWN,Loc_SNELLVILLE,Loc_FLOWERY,Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8
1,2020-04-22 00:00:00,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-04-29 00:00:00,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2020-05-06 00:00:00,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2020-05-13 00:00:00,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-05-20 00:00:00,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2020-05-27 00:00:00,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2020-06-03 00:00:00,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020-06-10 00:00:00,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020-06-17 00:00:00,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020-06-24 00:00:00,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020-07-01 00:00:00,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2020-07-08 00:00:00,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2020-07-15 00:00:00,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2020-07-22 00:00:00,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2020-07-29 00:00:00,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2020-08-05 00:00:00,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2020-08-12 00:00:00,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2020-08-19 00:00:00,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2020-08-26 00:00:00,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2020-09-02 00:00:00,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2020-09-09 00:00:00,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2020-09-16 00:00:00,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2020-09-23 00:00:00,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2020-09-30 00:00:00,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2020-10-07 00:00:00,1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2020-10-14 00:00:00,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2020-10-21 00:00:00,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2020-10-28 00:00:00,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2020-11-04 00:00:00,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2020-11-11 00:00:00,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2020-11-18 00:00:00,3159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2020-11-25 00:00:00,2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2020-12-02 00:00:00,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2020-12-09 00:00:00,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2020-12-16 00:00:00,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2020-12-23 00:00:00,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2020-12-30 00:00:00,2311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2021-01-06 00:00:00,1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2021-01-13 00:00:00,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2021-01-20 00:00:00,2865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2021-01-27 00:00:00,3109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2021-02-03 00:00:00,4711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2021-02-10 00:00:00,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2022-02-17 00:00:00,5418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2021-02-24 00:00:00,6030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2021-03-03 00:00:00,5186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2021-03-10 00:00:00,3989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2021-03-17 00:00:00,4052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2021-03-24 00:00:00,4865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2021-03-31 00:00:00,4225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2021-04-07 00:00:00,5442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2021-04-14 00:00:00,7241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2021-04-21 00:00:00,10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2021-04-28 00:00:00,9454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2021-05-05 00:00:00,6715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2021-05-12 00:00:00,8579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2021-05-19 00:00:00,5475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2021-05-26 00:00:00,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2021-06-02 00:00:00,10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2021-06-09 00:00:00,9454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2021-06-16 00:00:00,6715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2021-06-23 00:00:00,8579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2021-06-30 00:00:00,5475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2021-07-07 00:00:00,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2021-07-14 00:00:00,4198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2021-07-21 00:00:00,5372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2021-07-28 00:00:00,6175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2021-08-04 00:00:00,5764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2021-08-11 00:00:00,6847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2021-08-18 00:00:00,5245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2021-08-25 00:00:00,4780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2021-09-01 00:00:00,4568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2021-09-08 00:00:00,3989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2021-09-15 00:00:00,4690,0,600,1989,1071,0,160,0,419,0,0,0,0,451,0,0,0,0,0,0
75,2021-09-22 00:00:00,4388,0,790,2008,988,30,99,0,425,0,0,0,0,48,0,0,0,0,0,0
76,2021-09-29 00:00:00,4888,0,594,1865,1855,0,114,0,127,0,0,0,273,60,0,0,0,0,0,0
77,2021-10-06 00:00:00,4648,0,651,2225,866,0,126,0,660,0,0,0,0,120,0,0,0,0,0,0
78,2021-10-13 00:00:00,3916,0,509,1522,1328,9,266,0,210,0,0,0,0,72,0,0,0,0,0,0
79,2021-10-20 00:00:00,4923,0,1005,1874,1218,0,188,0,598,0,0,0,0,40,0,0,0,0,0,0
80,2021-10-27 00:00:00,5801,0,1043,2806,1229,0,130,0,285,0,0,0,0,308,0,0,0,0,0,0
81,2021-11-03 00:00:00,6742,0,1247,2555,2144,0,184,0,500,0,0,0,0,112,0,0,0,0,0,0
82,2021-11-10 00:00:00,6550,0,851,3728,1231,0,245,0,373,0,0,0,0,122,0,0,0,0,0,0
83,2021-11-17 00:00:00,6341,0,777,3517,1180,166,229,0,390,0,0,0,0,82,0,0,0,0,0,0
84,2021-11-22 00:00:00,6693,0,939,2720,2204,10,470,0,350,0,0,0,0,0,0,0,0,0,0,0
85,2021-12-01 00:00:00,5182,0,540,2432,1585,0,166,0,386,0,0,0,0,73,0,0,0,0,0,0
86,2021-12-08 00:00:00,6927,0,939,2553,1688,530,307,0,850,0,0,0,0,60,0,0,0,0,0,0
87,2021-12-15 00:00:00,6288,0,868,1890,2214,80,558,0,575,0,0,0,0,103,0,0,0,0,0,0
88,2021-12-29 00:00:00,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2022-01-03 00:00:00,1044,0,818,0,0,106,0,0,0,0,120,0,0,0,0,0,0,0,0,0
90,2022-01-05 00:00:00,6407,0,438,3293,1292,0,371,0,1013,0,0,0,0,0,0,0,0,0,0,0
91,2022-01-17 00:00:00,7550,7550,900,5033,879,0,0,0,513,0,0,0,225,0,0,0,0,0,0,0
92,2022-01-19 00:00:00,8512,8512,649,2412,4109,566,351,0,162,0,0,0,263,0,0,0,0,0,0,0
93,2022-01-26 00:00:00,8092,0,842,3975,2210,28,282,0,755,0,0,0,0,0,0,0,0,0,0,0
94,2022-02-02 00:00:00,6828,0,974,2478,2011,39,252,0,120,185,0,0,530,239,0,0,0,0,0,0
95,2022-02-03 00:00:00,7832,0,2236,2341,1861,84,344,0,401,130,0,0,335,100,0,0,0,0,0,0
96,2022-02-04 00:00:00,10275,0,1801,4550,2311,165,462,0,486,224,0,0,276,0,0,0,0,0,0,0
97,2022-02-05 00:00:00,8476,0,1190,3564,1803,0,551,0,442,304,0,0,422,200,0,0,0,0,0,0
98,2022-02-06 00:00:00,9265,0,1569,3121,1809,68,249,0,364,368,0,0,1326,391,0,0,0,0,0,0
99,2022-02-07 00:00:00,7946,0,1054,2844,1877,0,773,0,443,102,80,0,486,287,0,0,0,0,0,0
100,2022-02-08 00:00:00,7561,0,2291,1927,1330,0,230,0,330,235,150,0,638,110,160,0,0,0,0,160
101,2022-02-09 00:00:00,12178,0,2291,3471,1240,0,432,0,253,90,150,0,516,61,1837,0,0,0,0,1837
102,2022-02-10 00:00:00,8360,0,1699,2068,1911,107,432,0,529,237,125,0,616,145,180,131,0,0,0,180
103,2022-02-11 00:00:00,6609,0,867,2267,2156,0,496,0,259,275,125,0,125,0,0,39,0,0,0,0
104,2022-02-12 00:00:00,10066,0,1134,2774,1892,21,211,0,325,112,105,0,282,0,1580,50,0,0,0,1580
105,2022-02-13 00:00:00,12798,0,2165,3490,2760,0,829,0,352,247,128,0,817,0,1005,0,0,0,0,1005
106,2022-02-14 00:00:00,10210,0,1379,3034,2817,85,503,0,503,380,116,0,243,0,575,0,0,0,0,575
107,2022-02-15 00:00:00,7467,0,1030,2707,1570,195,388,0,480,62,140,0,515,0,190,0,0,0,0,190
108,2022-05-11 00:00:00,9466,0,1574,3729,1999,154,699,0,569,86,115,0,541,0,0,0,0,0,0,0
109,2022-05-18 00:00:00,8176,0,1457,2532,1842,77,165,0,256,118,121,0,500,0,450,0,208,0,0,450
110,2022-05-15 00:00:00,8408,0,1457,2415,1747,112,187,0,136,86,110,0,403,0,800,0,155,0,0,800
111,2022-06-01 00:00:00,5255,0,634,1855,1695,0,433,0,0,76,128,0,434,0,0,0,0,0,0,0
112,2022-06-08 00:00:00,10778,0,1471,2404,2163,120,453,0,20,270,170,0,70,0,1809,0,19,0,0,1809
113,2022-06-15 00:00:00,8985,0,1232,2032,2841,0,557,0,0,93,160,0,1170,0,450,0,0,0,0,450
114,2022-06-22 00:00:00,12216,0,1147,3174,2897,114,703,0,44,235,104,0,278,0,1750,0,20,0,0,1750
115,2022-06-29 00:00:00,8850,0,2340,1837,3182,54,591,0,80,185,82,0,0,0,151,0,197,0,0,151
116,2022-07-06 00:00:00,5500,0,1144,1067,2167,107,341,0,170,210,187,0,107,0,0,0,0,0,0,0
117,2022-07-13 00:00:00,7385,0,2688,1645,2168,66,370,0,67,0,99,0,176,0,0,0,106,0,0,0
118,2022-07-20 00:00:00,9896,0,528,2046,2533,0,272,0,104,268,172,0,423,0,1740,0,70,0,0,1740
119,2022-07-27 00:00:00,7499,0,1068,1970,2538,104,232,0,0,90,142,0,305,0,525,0,0,0,0,525
120,2022-08-03 00:00:00,5226,0,760,1319,1845,366,401,0,18,42,102,0,373,0,0,0,0,0,0,0
121,2022-08-10 00:00:00,7015,0,1697,1616,1637,72,475,0,84,175,135,0,300,0,375,0,74,0,0,375
122,2022-08-17 00:00:00,8071,0,1339,1818,1132,79,199,0,265,0,175,0,222,0,1391,0,60,0,0,1391
123,2022-08-24 00:00:00,5986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5986
124,2022-08-31 00:00:00,6377,0,1310,1819,1321,147,224,0,32,106,220,0,0,0,350,0,230,268,0,350
125,2022-09-07 00:00:00,9948,0,2611,1458,1118,190,226,0,30,106,150,0,115,0,1700,150,248,146,0,1700
126,2022-09-14 00:00:00,9709,0,1043,1981,1235,54,307,0,123,75,190,0,125,110,2138,0,160,30,0,2138
127,2022-09-21 00:00:00,9668,0,2590,831,1559,30,453,0,192,118,160,0,217,120,1500,0,190,30,178,1500
128,2022-09-28 00:00:00,7613,0,1009,1373,1009,334,374,0,245,389,140,100,0,0,1320,0,0,0,0,1320
129,2022-10-05 00:00:00,9374,0,1058,1417,1215,394,226,0,96,534,201,75,0,0,2079,0,0,0,0,2079
130,2022-10-12 00:00:00,6690,0,1161,1579,1078,136,322,0,390,360,158,200,0,0,653,0,0,0,0,653
131,2022-10-19 00:00:00,10480,0,1097,1317,1250,194,468,0,615,460,162,191,0,0,2363,0,0,0,0,2363
132,2022-10-26 00:00:00,8490,0,963,1414,852,353,257,0,1106,760,158,293,0,0,1167,0,0,0,0,1167
133,2022-11-02 00:00:00,11160,0,783,2150,1149,267,190,0,688,567,105,387,0,0,2437,0,0,0,0,2437
134,2022-11-09 00:00:00,19195,0,1939,2705,2101,154,347,0,644,816,105,324,0,0,5030,0,0,0,0,5030
135,2022-11-16 00:00:00,34100,0,2897,1621,2098,625,324,0,3594,950,142,393,0,0,10728,0,0,0,0,10728
136,2022-11-23 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2022-11-30 00:00:00,16037,0,1543,1156,1497,248,347,0,948,363,200,431,0,0,4652,0,0,0,0,4652
