Collection Date,Host Name,Individual Sandwiches,Notes
2025-01-08,Groups,900,Missing group collections from Google Sheet
2025-01-15,Groups,1730,Missing group collections from Google Sheet
2025-01-29,Groups,7140,Missing group collections from Google Sheet
2025-02-05,Groups,2550,Missing group collections from Google Sheet
2025-02-12,Groups,2952,Missing group collections from Google Sheet
2025-02-19,Groups,2116,Missing group collections from Google Sheet
2025-03-05,Groups,4545,Missing group collections from Google Sheet
2025-03-12,Groups,4530,Missing group collections from Google Sheet
2025-04-02,Groups,5468,Missing group collections from Google Sheet
2025-04-16,Groups,1400,Missing group collections from Google Sheet
2025-04-30,Groups,2000,Missing group collections from Google Sheet
2025-05-07,Groups,750,Missing group collections from Google Sheet
2025-05-14,Groups,1750,Missing group collections from Google Sheet
2025-05-21,Groups,4836,Missing group collections from Google Sheet
2025-05-29,Groups,4471,Missing group collections from Google Sheet
2025-06-04,Groups,1521,Missing group collections from Google Sheet